id;start_time;finish_time;duration;host
req-11-10915667367_0;0.1012;0.2012;0.1;bus_stop_1
req-8-10915667490_0;0.1012;0.2012;0.1;bus_stop_1
req-6-10915667367_0;0.1012;0.2012;0.1;bus_stop_1
req-12-255191472_0;0.1012;0.2012;0.1;bus_stop_14
req-5-1432574929_0;0.1012;0.2012;0.1;bus_stop_7
req-5-1432574912_0;0.1012;0.2012;0.1;bus_stop_7
req-65-581942025_0;0.1013;0.2013;0.1;bus_stop_4
req-64-10915667292_0;0.1013;0.2013;0.1;bus_stop_4
req-60-10915667292_0;0.1013;0.2013;0.1;bus_stop_4
req-16-10915667292_0;0.1013;0.2013;0.1;bus_stop_4
req-22-255596162_0;0.1013;0.2013;0.1;bus_stop_12
req-17-1451034444_0;0.1013;0.2013;0.1;bus_stop_12
req-17-2569087094_0;0.1013;0.2013;0.1;bus_stop_12
req-17-255191060_0;0.1013;0.2013;0.1;bus_stop_12
req-84-255200417_0;0.1013;0.2013;0.1;bus_stop_3
req-74-1469068934_0;0.1013;0.2013;0.1;bus_stop_3
req-74-236864888_0;0.1013;0.2013;0.1;bus_stop_3
req-28-236864888_1;0.1013;0.2013;0.1;bus_stop_3
req-24-1480037098_0;0.1013;0.2013;0.1;bus_stop_6
req-24-255190828_0;0.1013;0.2013;0.1;bus_stop_6
req-21-1480037096_1;0.1013;0.2013;0.1;bus_stop_6
req-21-12146794_0;0.1013;0.2013;0.1;bus_stop_6
req-14-10915667342_0;0.1013;0.2013;0.1;bus_stop_15
req-13-10915667312_0;0.1013;0.2013;0.1;bus_stop_15
req-14-255596028_0;0.1013;0.2013;0.1;bus_stop_9
req-14-11378562273_0;0.1013;0.2013;0.1;bus_stop_1
req-13-255191459_0;0.1013;0.2013;0.1;bus_stop_14
req-13-255191448_0;0.1013;0.2013;0.1;bus_stop_14
req-13-1451034425_0;0.1013;0.2013;0.1;bus_stop_14
req-24-255190832_0;0.1013;0.2013;0.1;bus_stop_11
req-21-1480037132_0;0.1013;0.2013;0.1;bus_stop_11
req-21-1480037117_0;0.1013;0.2013;0.1;bus_stop_11
req-21-255190814_0;0.1013;0.2013;0.1;bus_stop_11
req-27-11383367766_0;0.1013;0.2013;0.1;bus_stop_16
req-27-11383382298_0;0.1013;0.2013;0.1;bus_stop_16
req-22-11383382298_0;0.1013;0.2013;0.1;bus_stop_16
req-22-11383367766_0;0.1013;0.2013;0.1;bus_stop_16
req-14-255595828_0;0.1013;0.2013;0.1;bus_stop_8
req-14-255595665_0;0.1013;0.2013;0.1;bus_stop_8
req-1-2569086797_1;0.2009;0.3009;0.1;bus_stop_0
req-5-1432574869_0;0.2011;0.3011;0.1;bus_stop_7
req-3-1432574984_1;0.2011;0.3011;0.1;bus_stop_7
req-16-255190788_0;0.2011;0.3011;0.1;bus_stop_8
req-8-1432574941_0;0.2011;0.3011;0.1;bus_stop_0
req-8-1432574946_0;0.2011;0.3011;0.1;bus_stop_0
req-2-255596109_1;0.2011;0.3011;0.1;bus_stop_0
req-1-255596055_1;0.2013;0.3013;0.1;bus_stop_9
req-1-2570830459_1;0.2013;0.3013;0.1;bus_stop_14
req-0-2569086820_1;0.2013;0.3013;0.1;bus_stop_15
req-0-581942559_1;0.2013;0.3013;0.1;bus_stop_15
req-1-11383367761_1;0.2013;0.3013;0.1;bus_stop_1
req-0-4414627711_1;0.2013;0.3013;0.1;bus_stop_1
req-5-1432574984_0;0.2015;0.3015;0.1;bus_stop_7
req-4-255191075_1;0.2015;0.3015;0.1;bus_stop_9
req-4-255595599_1;0.2015;0.3015;0.1;bus_stop_9
req-4-11378562273_1;0.2015;0.3015;0.1;bus_stop_1
req-5-1432574863_1;0.2016;0.3016;0.1;bus_stop_7
req-9-1371509882_0;0.2018;0.3018;0.1;bus_stop_5
req-9-1432574901_0;0.2018;0.3018;0.1;bus_stop_5
req-8-1371509865_1;0.2018;0.3018;0.1;bus_stop_5
req-9-1371510260_1;0.2019;0.3019;0.1;bus_stop_5
req-10-1371510009_0;0.202;0.302;0.1;bus_stop_10
req-10-12146760_0;0.202;0.302;0.1;bus_stop_10
req-11-1432574832_0;0.2021;0.3021;0.1;bus_stop_13
req-11-12146782_0;0.2021;0.3021;0.1;bus_stop_13
req-11-255596808_0;0.2021;0.3021;0.1;bus_stop_13
req-12-255200263_0;0.2024;0.3024;0.1;bus_stop_2
req-12-10915667312_1;0.2024;0.3024;0.1;bus_stop_15
req-13-255191437_1;0.2029;0.3029;0.1;bus_stop_14
req-14-255191075_0;0.2031;0.3031;0.1;bus_stop_9
req-14-2569086736_0;0.2031;0.3031;0.1;bus_stop_13
req-15-10915667312_0;0.2031;0.3031;0.1;bus_stop_15
req-15-255191448_0;0.2031;0.3031;0.1;bus_stop_14
req-15-1451034425_0;0.2031;0.3031;0.1;bus_stop_14
req-17-4414627711_0;0.2032;0.3032;0.1;bus_stop_1
req-18-1371510128_0;0.2032;0.3032;0.1;bus_stop_10
req-18-12146767_0;0.2032;0.3032;0.1;bus_stop_10
req-17-255200263_0;0.2032;0.3032;0.1;bus_stop_2
req-17-255190984_0;0.2032;0.3032;0.1;bus_stop_2
req-24-1480037112_0;0.2034;0.3034;0.1;bus_stop_11
req-24-1480037096_1;0.2034;0.3034;0.1;bus_stop_6
req-24-255190815_0;0.2034;0.3034;0.1;bus_stop_6
req-24-2569108697_0;0.2034;0.3034;0.1;bus_stop_8
req-24-255190812_0;0.2034;0.3034;0.1;bus_stop_8
req-24-255190788_0;0.2034;0.3034;0.1;bus_stop_8
req-23-9983238121_0;0.2034;0.3034;0.1;bus_stop_2
req-26-1451034444_0;0.2035;0.3035;0.1;bus_stop_12
req-26-2569087094_0;0.2035;0.3035;0.1;bus_stop_12
req-26-255191060_0;0.2035;0.3035;0.1;bus_stop_12
req-25-1451034444_0;0.2035;0.3035;0.1;bus_stop_12
req-30-11383382298_0;0.2035;0.3035;0.1;bus_stop_16
req-28-581942879_0;0.2035;0.3035;0.1;bus_stop_16
req-28-236864890_0;0.2035;0.3035;0.1;bus_stop_16
req-28-236868307_0;0.2035;0.3035;0.1;bus_stop_16
req-70-255191427_0;0.2035;0.3035;0.1;bus_stop_4
req-65-583490272_0;0.2035;0.3035;0.1;bus_stop_4
req-65-581942058_0;0.2035;0.3035;0.1;bus_stop_4
req-65-255191427_0;0.2035;0.3035;0.1;bus_stop_4
req-89-1469068934_0;0.2035;0.3035;0.1;bus_stop_3
req-89-236864888_0;0.2035;0.3035;0.1;bus_stop_3
req-89-255200417_0;0.2035;0.3035;0.1;bus_stop_3
req-74-255200417_1;0.2035;0.3035;0.1;bus_stop_3
req-31-255190832_0;0.2035;0.3035;0.1;bus_stop_11
req-31-1480037112_0;0.2035;0.3035;0.1;bus_stop_11
req-25-1480037117_0;0.2035;0.3035;0.1;bus_stop_11
req-25-12146792_0;0.2035;0.3035;0.1;bus_stop_6
req-25-1480037106_0;0.2035;0.3035;0.1;bus_stop_6
req-2-255596094_1;0.301;0.401;0.1;bus_stop_0
req-5-1432574984_1;0.3012;0.4012;0.1;bus_stop_7
req-3-1432574929_2;0.3012;0.4012;0.1;bus_stop_7
req-2-255596112_1;0.3012;0.4012;0.1;bus_stop_0
req-11-255595834_1;0.3013;0.4013;0.1;bus_stop_9
req-19-10915667347_0;0.3013;0.4013;0.1;bus_stop_1
req-11-10915667347_1;0.3013;0.4013;0.1;bus_stop_1
req-16-2569108697_1;0.3013;0.4013;0.1;bus_stop_8
req-17-581942559_0;0.3013;0.4013;0.1;bus_stop_15
req-17-2569086820_0;0.3013;0.4013;0.1;bus_stop_15
req-12-255191448_1;0.3013;0.4013;0.1;bus_stop_14
req-18-1432574919_0;0.3013;0.4013;0.1;bus_stop_0
req-9-1432574919_0;0.3013;0.4013;0.1;bus_stop_0
req-6-10915667367_1;0.3018;0.4018;0.1;bus_stop_1
req-6-2569086944_0;0.3018;0.4018;0.1;bus_stop_7
req-5-1432574912_1;0.3018;0.4018;0.1;bus_stop_7
req-9-1371510304_1;0.3019;0.4019;0.1;bus_stop_5
req-9-1371510515_1;0.3019;0.4019;0.1;bus_stop_5
req-18-1371510111_0;0.302;0.402;0.1;bus_stop_10
req-10-12146760_1;0.302;0.402;0.1;bus_stop_10
req-14-255595599_0;0.302;0.402;0.1;bus_stop_9
req-14-12146784_0;0.302;0.402;0.1;bus_stop_9
req-10-1371509882_0;0.302;0.402;0.1;bus_stop_5
req-10-1371510260_0;0.302;0.402;0.1;bus_stop_5
req-14-2569086780_0;0.3023;0.4023;0.1;bus_stop_13
req-11-12146782_1;0.3023;0.4023;0.1;bus_stop_13
req-6-12146782_1;0.3023;0.4023;0.1;bus_stop_13
req-0-9143229517_2;0.3025;0.4025;0.1;bus_stop_15
req-9-9983238121_1;0.3025;0.4025;0.1;bus_stop_2
req-2-2570830459_1;0.303;0.403;0.1;bus_stop_14
req-2-11383382298_1;0.3036;0.4036;0.1;bus_stop_16
req-12-1451034444_1;0.3038;0.4038;0.1;bus_stop_12
req-13-1480037114_1;0.3038;0.4038;0.1;bus_stop_11
req-13-1451034453_1;0.3038;0.4038;0.1;bus_stop_4
req-13-581942058_1;0.3038;0.4038;0.1;bus_stop_4
req-12-255200263_1;0.3038;0.4038;0.1;bus_stop_2
req-12-255190984_1;0.3038;0.4038;0.1;bus_stop_2
req-13-255191459_2;0.3038;0.4038;0.1;bus_stop_14
req-13-255191472_1;0.3038;0.4038;0.1;bus_stop_14
req-16-255190788_1;0.3042;0.4042;0.1;bus_stop_8
req-16-255190812_1;0.3042;0.4042;0.1;bus_stop_8
req-18-1371509982_0;0.3045;0.4045;0.1;bus_stop_10
req-18-12146760_0;0.3045;0.4045;0.1;bus_stop_10
req-19-10915667367_0;0.3045;0.4045;0.1;bus_stop_1
req-19-12146782_0;0.3045;0.4045;0.1;bus_stop_13
req-21-2569108697_1;0.3045;0.4045;0.1;bus_stop_8
req-21-1480037117_1;0.3045;0.4045;0.1;bus_stop_11
req-19-255595834_0;0.3045;0.4045;0.1;bus_stop_9
req-24-255190828_1;0.3046;0.4046;0.1;bus_stop_6
req-26-255190984_0;0.3047;0.4047;0.1;bus_stop_2
req-25-12146794_1;0.3047;0.4047;0.1;bus_stop_6
req-25-12146794_0;0.3047;0.4047;0.1;bus_stop_6
req-25-10915667312_0;0.3047;0.4047;0.1;bus_stop_15
req-89-255200417_1;0.3049;0.4049;0.1;bus_stop_3
req-47-1451034444_0;0.3049;0.4049;0.1;bus_stop_12
req-40-3574495212_0;0.3049;0.4049;0.1;bus_stop_12
req-35-255596789_0;0.3049;0.4049;0.1;bus_stop_12
req-34-1480037132_0;0.3049;0.4049;0.1;bus_stop_11
req-34-1480037114_0;0.3049;0.4049;0.1;bus_stop_11
req-65-255191439_1;0.3049;0.4049;0.1;bus_stop_4
req-65-581942026_1;0.3049;0.4049;0.1;bus_stop_4
req-31-255190815_0;0.3049;0.4049;0.1;bus_stop_6
req-30-11383367766_0;0.3049;0.4049;0.1;bus_stop_16
req-28-581942874_1;0.3049;0.4049;0.1;bus_stop_16
req-28-255200517_1;0.3049;0.4049;0.1;bus_stop_16
req-28-1469068934_1;0.3248;0.4248;0.1;bus_stop_3
req-8-1432574919_1;0.4012;0.5012;0.1;bus_stop_0
req-6-2923178604_0;0.4013;0.5013;0.1;bus_stop_7
req-3-1432574863_3;0.4013;0.5013;0.1;bus_stop_7
req-26-2569086820_0;0.4013;0.5013;0.1;bus_stop_15
req-17-1469068918_1;0.4013;0.5013;0.1;bus_stop_15
req-8-10915667416_1;0.4013;0.5013;0.1;bus_stop_1
req-4-11378562276_2;0.4013;0.5013;0.1;bus_stop_1
req-15-255191459_0;0.4013;0.5013;0.1;bus_stop_14
req-14-255596055_1;0.4013;0.5013;0.1;bus_stop_9
req-4-255595787_2;0.4013;0.5013;0.1;bus_stop_8
req-22-255596112_0;0.4013;0.5013;0.1;bus_stop_0
